index_after_baseline	sha	short_sha	subject	history_layer	category	visual_or_ux_risk	recommended_action	backport_bundle	rationale
29	4e1495477b145c8cef151861edd37a6ff8cbf6e4	4e1495477	Keep physical mechanisms and fabrication output in one source of truth	pre-v1.1.0	mechanism or fabrication behavior	medium-high	exclude from performance pack		May improve correctness, but changes accepted edits, geometry, readiness, board placement, fabrication, or preview semantics.
30	d18c5131b9197fcbee9dccdd9fe8528cc913a632	d18c5131b	Keep student mechanism edits physical and predictable	pre-v1.1.0	mechanism or fabrication behavior	medium-high	exclude from performance pack		May improve correctness, but changes accepted edits, geometry, readiness, board placement, fabrication, or preview semantics.
31	64c5651a85d8111b4e91f7ac7ed56c8d4c296950	64c5651a8	Converge Foundry pins and fabrication z-stack on compiler-owned layers	pre-v1.1.0	visual, interaction, or stage architecture	high	reject under visual lock		Touches visible canvas behavior, controls, camera, layers, animation, renderer ownership, or stage interaction.
32	6186a2c4ee4a7bd39277d65f41e0f9421aaa2b8c	6186a2c4e	Finalize durable ultragoal plan completion bookkeeping	pre-v1.1.0	tests, evidence, docs, CI, or release	none or mixed	evidence only		Do not cherry-pick as production optimization; selectively recreate only the final visual-lock and proxy tests.
33	8c0edf275f28958d6a82f1ec5dd13dbef47b1e09	8c0edf275	Unify mechanism authoring with fabrication truth	pre-v1.1.0	mechanism or fabrication behavior	medium-high	exclude from performance pack		May improve correctness, but changes accepted edits, geometry, readiness, board placement, fabrication, or preview semantics.
34	95aaca21ba80a38ee764c224e696191a20877687	95aaca21b	Keep mechanism edits physical and project-safe	pre-v1.1.0	mechanism or fabrication behavior	medium-high	exclude from performance pack		May improve correctness, but changes accepted edits, geometry, readiness, board placement, fabrication, or preview semantics.
35	331cc44d7799b161ea9c75d66d33f540f5e26403	331cc44d7	feat(mechanism): resolve catalog fabrication combinations	pre-v1.1.0	mechanism or fabrication behavior	medium-high	exclude from performance pack		May improve correctness, but changes accepted edits, geometry, readiness, board placement, fabrication, or preview semantics.
36	9af73e78ece5ca9ace637e00994e6af60c5e484b	9af73e78e	fix(mechanism): close fabrication combination boundary	pre-v1.1.0	mechanism or fabrication behavior	medium-high	exclude from performance pack		May improve correctness, but changes accepted edits, geometry, readiness, board placement, fabrication, or preview semantics.
37	fcdc5ecf5329d21c496b4675912310d6813967c2	fcdc5ecf5	fix(mechanism): rank gear linkage candidates	pre-v1.1.0	mechanism or fabrication behavior	medium-high	exclude from performance pack		May improve correctness, but changes accepted edits, geometry, readiness, board placement, fabrication, or preview semantics.
38	66c4e36712076eee3e67e18f8459607af9c8b14c	66c4e3671	fix(fabrication): reject off-catalog graph parts	pre-v1.1.0	mechanism or fabrication behavior	medium-high	exclude from performance pack		May improve correctness, but changes accepted edits, geometry, readiness, board placement, fabrication, or preview semantics.
39	e08afe2bcb7d6e3d9ae64f790b3e1ebdfc4f7ba7	e08afe2bc	fix(fabrication): preserve raw graph dimensions	pre-v1.1.0	mechanism or fabrication behavior	medium-high	exclude from performance pack		May improve correctness, but changes accepted edits, geometry, readiness, board placement, fabrication, or preview semantics.
40	12060f9fc7fda0623f9d4dd88051d2ec5f4ad298	12060f9fc	fix(mechanism): commit snapped fabrication state atomically	pre-v1.1.0	mechanism or fabrication behavior	medium-high	exclude from performance pack		May improve correctness, but changes accepted edits, geometry, readiness, board placement, fabrication, or preview semantics.
41	f4f5b113ec0322777a2e36bd10f343f6ad03fb48	f4f5b113e	fix(mechanism): close Task 3 authority correction	pre-v1.1.0	mechanism or fabrication behavior	medium-high	exclude from performance pack		May improve correctness, but changes accepted edits, geometry, readiness, board placement, fabrication, or preview semantics.
42	8280ce6daef19f528c2c1a3bb6b5324d69048045	8280ce6da	perf(fit): bound catalog path fitting	pre-v1.1.0	performance donor coupled to renderer or output changes	high	do not cherry-pick	P7_FIT_SEARCH_BOUND	Bounds discovery, lowers trace resolution, and changes candidate materialization/ranking; can change Fit output.
43	10a0a589e4e502f3ff7bd979fba2deb7bef65efa	10a0a589e	perf(fit): skip fallback after accepted four-bar fit	pre-v1.1.0	visual-neutral performance donor	low-medium	conditional partial cherry-pick	P7_FIT_EARLY_RETURN	Early return is likely behavior-preserving; accept only if exact result and side-effect parity pass on b695.
44	d2657c94e6ac4912e8d9d4544ed9e702dc563fa8	d2657c94e	fix(fabrication): enforce physical board boundary	pre-v1.1.0	mechanism or fabrication behavior	medium-high	exclude from performance pack		May improve correctness, but changes accepted edits, geometry, readiness, board placement, fabrication, or preview semantics.
45	1f0573537ae19064c47328878605e52bf2198b27	1f0573537	fix(fabrication): center even board coordinates	pre-v1.1.0	mechanism or fabrication behavior	medium-high	exclude from performance pack		May improve correctness, but changes accepted edits, geometry, readiness, board placement, fabrication, or preview semantics.
46	28234f70d34430c0e1f8fcedfcee3a50254e780e	28234f70d	fix(fabrication): preserve explicit board anchors	pre-v1.1.0	mechanism or fabrication behavior	medium-high	exclude from performance pack		May improve correctness, but changes accepted edits, geometry, readiness, board placement, fabrication, or preview semantics.
47	fab696105835d576f52ac2ca84ec514189c47499	fab696105	fix(fabrication): align base holes with board coordinates	pre-v1.1.0	mechanism or fabrication behavior	medium-high	exclude from performance pack		May improve correctness, but changes accepted edits, geometry, readiness, board placement, fabrication, or preview semantics.
48	3b4e6a5d18e2c600bd96cd50c06b8d655dacda94	3b4e6a5d1	fix(fabrication): separate board and cut-sheet validation	pre-v1.1.0	mechanism or fabrication behavior	medium-high	exclude from performance pack		May improve correctness, but changes accepted edits, geometry, readiness, board placement, fabrication, or preview semantics.
49	cfcc544fc4d012acc1e0ae8b08dd607ce17dabac	cfcc544fc	fix(mechanism): reject unsafe physical candidates	pre-v1.1.0	mechanism or fabrication behavior	medium-high	exclude from performance pack		May improve correctness, but changes accepted edits, geometry, readiness, board placement, fabrication, or preview semantics.
50	4f3f7cc4906c2fef49b5796c2c6e43988466b9d2	4f3f7cc49	fix(foundry): retain authority blockers	pre-v1.1.0	visual, interaction, or stage architecture	high	reject under visual lock		Touches visible canvas behavior, controls, camera, layers, animation, renderer ownership, or stage interaction.
51	a363e5d34d9c147f1d05dd0c774dfbfc7f61d108	a363e5d34	release: ship MotionSmith 1.1.0	pre-v1.1.0	mixed release aggregation	very high	reject whole commit		Aggregates product, study, renderer, and behavior changes; cannot preserve b695 UX through cherry-pick.
52	fcef63b9177fc959cb8015418a5acf6144d2249f	fcef63b91	test(persistence): make golden hash platform-stable	pre-v1.1.0	tests, evidence, docs, CI, or release	none or mixed	evidence only		Do not cherry-pick as production optimization; selectively recreate only the final visual-lock and proxy tests.
53	0f92bc6dba82f4678f70025d9deb8bb69d061523	0f92bc6db	test(persistence): canonicalize stored project JSON	pre-v1.1.0	tests, evidence, docs, CI, or release	none or mixed	evidence only		Do not cherry-pick as production optimization; selectively recreate only the final visual-lock and proxy tests.
54	cad530c2fabe05e28d8281d81e7379a0b557f43c	cad530c2f	test(persistence): bound cross-platform geometry drift	pre-v1.1.0	tests, evidence, docs, CI, or release	none or mixed	evidence only		Do not cherry-pick as production optimization; selectively recreate only the final visual-lock and proxy tests.
55	2ef370d10a1899be7c0319cf6ce1121ec4ae844d	2ef370d10	test(persistence): stabilize generated golden input	pre-v1.1.0	tests, evidence, docs, CI, or release	none or mixed	evidence only		Do not cherry-pick as production optimization; selectively recreate only the final visual-lock and proxy tests.
56	60fea0322c91bfc1e4b7ec1edbd262f9ef4f3de4	60fea0322	ci(release): install ONNX contract dependencies	pre-v1.1.0	tests, evidence, docs, CI, or release	none or mixed	evidence only		Do not cherry-pick as production optimization; selectively recreate only the final visual-lock and proxy tests.
57	348031990ceda887ed97ab20484169d1afa7fbcf	348031990	test(project): stabilize serialized golden fixtures	pre-v1.1.0	tests, evidence, docs, CI, or release	none or mixed	evidence only		Do not cherry-pick as production optimization; selectively recreate only the final visual-lock and proxy tests.
58	97e6b3b3ce6be2cc43699fd282687ff1a8cfc5af	97e6b3b3c	fix(onnx): validate decoded model bytes	pre-v1.1.0	optional nonvisual correctness	low	optional partial cherry-pick	ONNX_DECODED_BYTE_VALIDATION	ONNX download accounting correctness; useful but not part of the performance-critical pack.
59	6a0b7f55fc385e0d456d0bef9d936bef1d1fd14b	6a0b7f55f	test(workbench): freeze export byte baseline	unified-workbench	tests, evidence, docs, CI, or release	none or mixed	evidence only		Do not cherry-pick as production optimization; selectively recreate only the final visual-lock and proxy tests.
60	ed7a6b0d10f59a18f14ac9e064032921d6938548	ed7a6b0d1	test(workbench): freeze fixed-view interaction contracts	unified-workbench	tests, evidence, docs, CI, or release	none or mixed	evidence only		Do not cherry-pick as production optimization; selectively recreate only the final visual-lock and proxy tests.
61	b129f7115934abf5cafd2056dcc3ce2e72cd3221	b129f7115	test(perf): record Chromebook GPU and context baseline	unified-workbench	tests, evidence, docs, CI, or release	none or mixed	evidence only		Do not cherry-pick as production optimization; selectively recreate only the final visual-lock and proxy tests.
62	5df0b5293c5166be6a83986a5c8a73603057ca40	5df0b5293	test(perf): record Chromebook CPU hot paths	unified-workbench	tests, evidence, docs, CI, or release	none or mixed	evidence only		Do not cherry-pick as production optimization; selectively recreate only the final visual-lock and proxy tests.
63	0d3869f273a58f183568f33f893c02f7b8d56804	0d3869f27	test(perf): capture visible Orca workbench baseline	unified-workbench	tests, evidence, docs, CI, or release	none or mixed	evidence only		Do not cherry-pick as production optimization; selectively recreate only the final visual-lock and proxy tests.
64	f97435ba3d0e66487f6fad1809e3d900184ec37d	f97435ba3	docs(perf): reconcile unified workbench bottlenecks	unified-workbench	tests, evidence, docs, CI, or release	none or mixed	evidence only		Do not cherry-pick as production optimization; selectively recreate only the final visual-lock and proxy tests.
65	32d864d7a8d24397e16710e4ea3591d77d7e9ed7	32d864d7a	refactor(workbench): freeze persistent runtime contracts	unified-workbench	unified-workbench architecture contract	high if implemented	evidence only		Interface freeze for the replacement renderer; useful context but no direct b695 runtime value.
66	2df1d112387a5f5db6fd0ce47852fbdaaf226839	2df1d1123	docs(perf): release frozen F1 ownership scopes	unified-workbench	tests, evidence, docs, CI, or release	none or mixed	evidence only		Do not cherry-pick as production optimization; selectively recreate only the final visual-lock and proxy tests.
67	89c0abe7bbb4b513d8ab02eba35272ad22e012a9	89c0abe7b	perf(inspector): remove edit analysis from playback	unified-workbench	visual-neutral performance donor	medium	manual backport	P3_INSPECTOR_CACHE	Cache analysis by semantic identity, but preserve b695 DOM and advanced-control mounting exactly.
68	1716660cc24273b2723a1117c6df903871d667d2	1716660cc	perf(classroom): load image AI only on explicit action	unified-workbench	visual-neutral performance donor	low	partial cherry-pick candidate	P1_LAZY_AI	Backport boot warmup removal and bounded Worker lifecycle; allow no canvas, CSS, camera, material, or stage markup changes.
69	5f5e2a83f37d40bead13652ae3b702f27211c04f	5f5e2a83f	perf(persistence): remove synchronous autosave from gestures	unified-workbench	visual-neutral performance donor	low	manual backport	P2_ASYNC_AUTOSAVE	Architecture depends on later autosave transaction modules; reproduce coalescing/Worker serialization on b695 instead of blind cherry-pick.
70	61fa3b89ba29ee0ebf84a2f74a7ad4987ab54e99	61fa3b89b	test(classroom): lock lazy I/O boundaries	unified-workbench	tests, evidence, docs, CI, or release	none or mixed	evidence only		Do not cherry-pick as production optimization; selectively recreate only the final visual-lock and proxy tests.
71	cdd7cae056ee7f031f591d4cae891c7244091211	cdd7cae05	perf(renderer): add persistent workbench runtime	unified-workbench	performance donor coupled to renderer or output changes	high	do not cherry-pick	P5_REACT_FREE_PLAYBACK	Persistent renderer runtime replaces the baseline canvas architecture.
72	e06357d47791ee4ef3f5bc5b7b92a1575d472e18	e06357d47	perf(motion): prepare reusable workbench pose cycles	unified-workbench	performance donor coupled to renderer or output changes	high	do not cherry-pick	P5_REACT_FREE_PLAYBACK	Pose-table interpolation and prepared-scene contract are tied to the replacement renderer; use only as algorithm reference.
73	7b20b4aff808ee29ab679e80932568c88b766070	7b20b4aff	test(workbench): accept retained projection parity	unified-workbench	tests, evidence, docs, CI, or release	none or mixed	evidence only		Do not cherry-pick as production optimization; selectively recreate only the final visual-lock and proxy tests.
74	b66ea71cec714725e131f6b025e5fbdcec46f3d4	b66ea71ce	docs(perf): accept unified workbench foundations	unified-workbench	tests, evidence, docs, CI, or release	none or mixed	evidence only		Do not cherry-pick as production optimization; selectively recreate only the final visual-lock and proxy tests.
75	87b7e3066d173033d8303c744777c40680330fa0	87b7e3066	build(workbench): isolate production diagnostics profiles	unified-workbench	visual-neutral performance donor	low	manual backport	P4_DIAGNOSTICS_GATE	Use its build-time flag design, then gate the existing b695 diagnostic traversal and dataset writes.
76	f845b956fec8a561ee8cf518cc23efcbfc786c28	f845b956f	refactor(workbench): freeze stage lens policy	unified-workbench	visual, interaction, or stage architecture	high	reject under visual lock		Touches visible canvas behavior, controls, camera, layers, animation, renderer ownership, or stage interaction.
77	4992bcc98ff292c702a90cc1dc681fe3e524a96c	4992bcc98	refactor(workbench): own one prepared runtime session	unified-workbench	visual, interaction, or stage architecture	high	reject under visual lock		Touches visible canvas behavior, controls, camera, layers, animation, renderer ownership, or stage interaction.
78	4d5c353880f54bfc4abb6a3c15ba7bd34921e82a	4d5c35388	refactor(workbench): mount the persistent stage shell	unified-workbench	visual, interaction, or stage architecture	high	reject under visual lock		Touches visible canvas behavior, controls, camera, layers, animation, renderer ownership, or stage interaction.
79	c60b6a2e0214688b67edd0ef18c130ddcf3ab3be	c60b6a2e0	fix(renderer): restore retained character textures	unified-workbench	visual, interaction, or stage architecture	high	reject under visual lock		Touches visible canvas behavior, controls, camera, layers, animation, renderer ownership, or stage interaction.
80	2ec72489f90d8d897cc46155c59ba6bae35bd988	2ec72489f	feat(path): move planar authoring to the shared Three workbench	unified-workbench	visual, interaction, or stage architecture	high	reject under visual lock		Touches visible canvas behavior, controls, camera, layers, animation, renderer ownership, or stage interaction.
81	ec04807c2939eb99a70c04cc92a4787e71c1082e	ec04807c2	refactor(path): retire legacy pointer sessions	unified-workbench	visual, interaction, or stage architecture	high	reject under visual lock		Touches visible canvas behavior, controls, camera, layers, animation, renderer ownership, or stage interaction.
82	930ebd32f5a4cff6735e361e328c0240917be622	930ebd32f	feat(foundry): use the shared fixed-view mechanism lens	unified-workbench	visual, interaction, or stage architecture	high	reject under visual lock		Touches visible canvas behavior, controls, camera, layers, animation, renderer ownership, or stage interaction.
83	4cfe95975e69e5d2626739d4b69d3035fe206a2b	4cfe95975	refactor(foundry): retire stage overlay sessions	unified-workbench	visual, interaction, or stage architecture	high	reject under visual lock		Touches visible canvas behavior, controls, camera, layers, animation, renderer ownership, or stage interaction.
84	78b41790bf3d6c51642594b3e1e8dff2f0da34a0	78b41790b	feat(design): use one retained automata scene	unified-workbench	visual, interaction, or stage architecture	high	reject under visual lock		Touches visible canvas behavior, controls, camera, layers, animation, renderer ownership, or stage interaction.
85	6a409dd8c9f0793b90f3bedd3c9b5190be5b3528	6a409dd8c	refactor(design): retire legacy connection overlay	unified-workbench	visual, interaction, or stage architecture	high	reject under visual lock		Touches visible canvas behavior, controls, camera, layers, animation, renderer ownership, or stage interaction.
86	89523a69e2d3ab864435eeaf819c7534dca7f2dc	89523a69e	feat(assembly): reuse the persistent workbench scene	unified-workbench	visual, interaction, or stage architecture	high	reject under visual lock		Touches visible canvas behavior, controls, camera, layers, animation, renderer ownership, or stage interaction.
87	2f64ff679c05d299cf7ba6802a035ab564ad643f	2f64ff679	refactor(assembly): retire local scene remnants	unified-workbench	visual, interaction, or stage architecture	high	reject under visual lock		Touches visible canvas behavior, controls, camera, layers, animation, renderer ownership, or stage interaction.
88	04e259da52ed2c05bf8c381ee5e36977d5e50c39	04e259da5	perf(blueprint): defer exact print proof and reuse the workbench	unified-workbench	visual, interaction, or stage architecture	high	reject under visual lock		Touches visible canvas behavior, controls, camera, layers, animation, renderer ownership, or stage interaction.
89	78964d5a8b139263a63242b52c9fbaa475c350c6	78964d5a8	fix(blueprint): prepare fabrication model off render	unified-workbench	visual-neutral performance donor	medium	manual backport	P8_BLUEPRINT_CACHE	Cache Blueprint model off React render while preserving identical live document and export bytes.
90	cd8f46aa80b9dc7ad6951ad0c3e251f48bde5707	cd8f46aa8	refactor(workbench): isolate prepared interaction planning	unified-workbench	visual, interaction, or stage architecture	high	reject under visual lock		Touches visible canvas behavior, controls, camera, layers, animation, renderer ownership, or stage interaction.
91	1d162b1e80f349520efebd2aab237226592430b2	1d162b1e8	fix(path): restore shared inspection and joint selection	unified-workbench	visual, interaction, or stage architecture	high	reject under visual lock		Touches visible canvas behavior, controls, camera, layers, animation, renderer ownership, or stage interaction.
92	3b170a746591673e1a4392ff008c830929f8bcf0	3b170a746	feat(workbench): prepare retained mechanism authoring	unified-workbench	visual, interaction, or stage architecture	high	reject under visual lock		Touches visible canvas behavior, controls, camera, layers, animation, renderer ownership, or stage interaction.
93	c5a7fa7ddcd64956f49a17f0e9e03f03c765c3e1	c5a7fa7dd	fix(assembly): retain the fabrication board layer	unified-workbench	visual, interaction, or stage architecture	high	reject under visual lock		Touches visible canvas behavior, controls, camera, layers, animation, renderer ownership, or stage interaction.
94	9bab0133272b1bbad8c53e1c5745fe7160b083b3	9bab01332	refactor(renderer): purge dead legacy preview graph	unified-workbench	visual, interaction, or stage architecture	high	reject under visual lock		Touches visible canvas behavior, controls, camera, layers, animation, renderer ownership, or stage interaction.
95	5774ec8ee7251729f2dbf6d61a58b0ef99d7ff4c	5774ec8ee	feat(workbench): retain paused camera gestures	unified-workbench	visual, interaction, or stage architecture	high	reject under visual lock		Touches visible canvas behavior, controls, camera, layers, animation, renderer ownership, or stage interaction.
96	5d1546b36390441d8c6140c62fc368fb341f8847	5d1546b36	test(workbench): retire legacy renderer contracts	unified-workbench	tests, evidence, docs, CI, or release	none or mixed	evidence only		Do not cherry-pick as production optimization; selectively recreate only the final visual-lock and proxy tests.
97	5ce25be43a9cd8b5c6a756fd97091d97d34979e1	5ce25be43	feat(assembly): prepare retained step presentation	unified-workbench	visual, interaction, or stage architecture	high	reject under visual lock		Touches visible canvas behavior, controls, camera, layers, animation, renderer ownership, or stage interaction.
98	ad4ed3318bd4aea51d505ecd9a075aa047a06858	ad4ed3318	docs(workbench): record the persistent scene cutover	unified-workbench	tests, evidence, docs, CI, or release	none or mixed	evidence only		Do not cherry-pick as production optimization; selectively recreate only the final visual-lock and proxy tests.
99	f163cfef3591f8b322f31b39ed616835611bf0b9	f163cfef3	test(renderer): expose retained GPU resource evidence	unified-workbench	tests, evidence, docs, CI, or release	none or mixed	evidence only		Do not cherry-pick as production optimization; selectively recreate only the final visual-lock and proxy tests.
100	613d83e74aa0513ecad48fa3a4fad3832660e59a	613d83e74	refactor(playback): delete the duplicate React clock	unified-workbench	visual-neutral performance donor	high	intent-only backport	P5_REACT_FREE_PLAYBACK	Large gain, but donor only deletes the old clock after a renderer cutover. Implement a b695-specific imperative phase bridge with exact frame parity.
101	495c8a1c0f0f88d8f81985e0dd7b2fbe532afa90	495c8a1c0	feat(workbench): add prepared semantic controls	unified-workbench	visual, interaction, or stage architecture	high	reject under visual lock		Touches visible canvas behavior, controls, camera, layers, animation, renderer ownership, or stage interaction.
102	04efd63288739dc2510634c72c0d0079a3716451	04efd6328	test(workbench): migrate G7 to retained scene	unified-workbench	tests, evidence, docs, CI, or release	none or mixed	evidence only		Do not cherry-pick as production optimization; selectively recreate only the final visual-lock and proxy tests.
103	79fea2f6c1cc5fe4633ed376d6610ffd96a02046	79fea2f6c	feat(workbench): retain mechanism presentation layers	unified-workbench	visual, interaction, or stage architecture	high	reject under visual lock		Touches visible canvas behavior, controls, camera, layers, animation, renderer ownership, or stage interaction.
104	de88b124ab589d8f9d2aa3ed33dad275ca7609cd	de88b124a	study: replace runtime telemetry with one final artifact	unified-workbench	telemetry or study collection	high if cherry-picked	manual redesign	T1_FINAL_ARTIFACT	Donor requires PreparedWorkbenchScene. Rebuild a one-shot b695 ProjectState/export artifact; no continuous observers, replay, retries, or pagehide serialization.
105	29c335e4250f6a32d05036f330d28490f007a769	29c335e42	fix(study): bind final artifact to accepted scene	unified-workbench	telemetry or study collection	high if cherry-picked	manual redesign	T1_FINAL_ARTIFACT	Donor requires PreparedWorkbenchScene. Rebuild a one-shot b695 ProjectState/export artifact; no continuous observers, replay, retries, or pagehide serialization.
106	c4f8c25933b3d09048da37feb74bee354182b649	c4f8c2593	test(workbench): migrate browser coverage to retained seams	unified-workbench	tests, evidence, docs, CI, or release	none or mixed	evidence only		Do not cherry-pick as production optimization; selectively recreate only the final visual-lock and proxy tests.
107	891aae6f04036565d1172af3aea7b4c72613dc51	891aae6f0	docs(study): retire continuous telemetry evidence	unified-workbench	telemetry or study collection	high if cherry-picked	evidence only		Documentation retirement; no runtime value.
